sports,countries,leagues,pronos,date,time,team_1,team_2,outcome,bookmaker,odds,value,probability
Football,England,Championship,"O/U 3.5, 1st Half",2025-05-12,22:00,Sheffield Utd,Bristol City,Under,BetInAsia,2.0,1.89,94.5
American football,USA,NCAA,"Home/Away, FT including OT",2025-08-30,23:00,Syracuse,Tennessee,1,GGBET,6.58,1.53,22.21
Hockey,World,World Championship,"Home/Away, FT including OT",2025-05-20,13:20,Switzerland,Kazakhstan,2,Betsafe,10.0,1.5,14.47
eSports,League of Legends,League of Legends LEC,Home/Away,2025-05-12,20:00,Movistar KOI,Rogue,2,1xBet,11.8,1.6,12.98
Football,Romania,Superliga,DNB,2025-05-17,18:00,UTA Arad,Gloria Buzau,2,10bet,19.0,1.92,10.06
Boxing,World,Super Middleweight - WBC/WBA/WBO/IBF Titles Men,1X2,2025-09-13,01:00,Alvarez S.,Crawford T.,X,22Bet,26.0,1.47,9.63
Handball,Denmark,Kvindeligaen Women,DNB,2025-05-12,19:30,Odense W,Horsens W,2,bet365,15.0,1.47,9.62
Hockey,World,World Championship,1X2,2025-05-17,21:20,Canada,Slovakia,2,Betsafe,16.0,1.5,8.98
Hockey,World,World Championship,DNB,2025-05-15,21:20,Czech Republic,Hungary,2,Betfair,21.0,1.77,8.9
Handball,Germany,Bundesliga,DNB,2025-05-15,20:00,Rhein-Neckar,Potsdam,2,bet365,17.0,1.5,8.87
Hockey,World,World Championship,DNB,2025-05-15,21:20,Canada,Austria,2,Betfair,34.0,2.46,8.57
Hockey,World,World Championship,DNB,2025-05-18,21:20,Hungary,Switzerland,1,Betfair,34.0,2.37,8.51
Hockey,World,World Championship,DNB,2025-05-16,21:20,Sweden,Slovenia,2,Betfair,34.0,2.43,8.5
Football,Costa Rica,Primera Division,"O/U 3.5, 1st Half",2025-05-15,05:45,Herediano,Saprissa,Over,1xBet,26.0,1.87,8.48
Football,Sweden,Superettan,"O/U 3.5, 1st Half",2025-05-17,16:00,Orebro,Sundsvall,Over,1xBet,26.0,1.88,8.33
Football,Egypt,Premier League,"O/U 3.5, 1st Half",2025-05-13,20:00,Zamalek,Pyramids,Over,1xBet,26.0,1.88,8.3
Hockey,World,World Championship,DNB,2025-05-18,17:20,Kazakhstan,USA,1,Betfair,34.0,2.24,8.16
Hockey,World,World Championship,1X2,2025-05-20,13:20,Switzerland,Kazakhstan,2,Betsafe,24.0,1.89,8.06
Football,Peru,Liga 1,"O/U 3.5, 1st Half",2025-05-16,23:30,Alianza Atl.,Deportivo Garcilaso,Over,1xBet,34.0,2.34,7.98
eSports,League of Legends,League of Legends LCK,Home/Away,2025-05-16,13:00,DN Freecs,Gen.G,1,1xBet,20.0,1.61,7.81
Football,Iceland,Besta deild karla,"O/U 4.5, 1st Half",2025-05-18,17:00,Vestmannaeyjar,KA Akureyri,Over,1xBet,34.0,2.31,7.74
Football,Iceland,Besta deild karla,"O/U 4.5, 1st Half",2025-05-18,22:15,Stjarnan,Vikingur Reykjavik,Over,1xBet,34.0,2.31,7.72
Football,Egypt,Premier League,"O/U 3.5, 1st Half",2025-05-13,20:00,Haras El Hodood,National Bank Egypt,Over,1xBet,29.0,1.94,7.71
Hockey,World,World Championship,DNB,2025-05-13,21:20,Canada,France,2,Betfair,21.0,1.59,7.7
Football,Slovenia,Prva liga,"O/U 4.5, 1st Half",2025-05-18,18:30,Nafta,Celje,Over,1xBet,34.0,2.28,7.6
Football,Switzerland,Challenge League,"O/U 4.5, 1st Half",2025-05-16,21:15,Etoile-Carouge,Aarau,Over,1xBet,34.0,2.28,7.58
Hockey,World,World Championship,1X2,2025-05-15,21:20,Canada,Austria,X,Betsson,21.0,1.62,7.55
Hockey,World,World Championship,1X2,2025-05-17,17:20,France,Sweden,X,Betsafe,21.0,1.53,7.26
Football,Poland,Division 1,"O/U 3.5, 1st Half",2025-05-18,13:00,Warta Poznan,Odra Opole,Over,1xBet,34.0,2.05,7.2
Football,Bulgaria,Parva liga,"O/U 3.5, 1st Half",2025-05-15,15:15,Krumovgrad,Slavia Sofia,Over,1xBet,41.0,2.47,7.08
Football,Brazil,Serie C,"O/U 3.5, 1st Half",2025-05-13,01:30,Ituano,Ponte Preta,Over,1xBet,41.0,2.11,6.83
Football,Romania,Liga 2,"O/U 3.5, 1st Half",2025-05-13,19:30,FC Arges,FC Voluntari,Over,1xBet,34.0,1.91,6.6
Football,Brazil,Copa Betano do Brasil,"O/U 3.5, 1st Half",2025-05-21,01:30,Athletico-PR,Brusque,Over,1xBet,34.0,1.97,6.55
Football,Uruguay,Liga AUF Uruguaya,"O/U 3.5, 1st Half",2025-05-17,21:00,River Plate,Wanderers,Over,1xBet,34.0,1.88,6.48
Football,Israel,Ligat ha'Al,"O/U 4.5, 1st Half",2025-05-12,20:30,H. Beer Sheva,Maccabi Haifa,Over,1xBet,34.0,1.87,6.39
Hockey,World,World Championship,1X2,2025-05-17,17:20,Czech Republic,Kazakhstan,2,Betsafe,30.0,1.5,4.83
Football,France,Ligue 1,O/U 0.5,2025-05-17,22:00,PSG,Auxerre,Under,Betsson,46.0,1.92,4.78
Boxing,World,Super Middleweight - Others matches Men,1X2,2025-06-01,01:00,Charlo Ja.,LaManna T.,X,1xBet,31.0,1.48,4.66
Football,Spain,LaLiga,"O/U 4.5, 1st Half",2025-05-18,20:00,Celta Vigo,Rayo Vallecano,Over,1xBet,65.0,1.94,4.18
Football,Italy,Serie A,"O/U 4.5, 1st Half",2025-05-18,16:00,AS Roma,AC Milan,Over,1xBet,65.0,1.97,4.15
Football,England,FA Cup,"O/U 4.5, 1st Half",2025-05-17,18:30,Crystal Palace,Manchester City,Over,1xBet,65.0,1.95,4.02
Football,France,Ligue 1,"O/U 4.5, 1st Half",2025-05-17,22:00,Nantes,Montpellier,Over,1xBet,65.0,1.97,4.02
Football,England,Premier League,"O/U 4.5, 1st Half",2025-05-18,17:00,Leicester,Ipswich,Over,1xBet,65.0,1.91,4.01
Basketball,Lithuania,LKL,"1X2, 1st Half",2025-05-13,18:30,Rytas,Siauliai,X,Betsson,34.0,1.46,4.0
Football,England,Premier League,"O/U 4.5, 1st Half",2025-05-18,18:30,Arsenal,Newcastle,Over,1xBet,65.0,2.0,3.99
Football,England,Premier League,"O/U 4.5, 1st Half",2025-05-18,14:00,Everton,Southampton,Over,1xBet,65.0,1.9,3.94
Boxing,World,Super Flyweight - WBC/WBO Titles Men,1X2,2025-07-20,01:00,Rodriguez J.,Cafu P.,X,1xBet,44.0,1.72,3.94
Football,Italy,Serie A,"O/U 4.5, 1st Half",2025-05-18,16:00,Inter,Lazio,Over,1xBet,65.0,1.94,3.93
Basketball,Greece,Basket League,"1X2, 1st Half",2025-05-12,20:15,Panathinaikos,Promitheas,X,Cloudbet,37.9,1.5,3.87
Football,Italy,Serie A,"O/U 4.5, 1st Half",2025-05-12,21:45,Atalanta,AS Roma,Over,1xBet,65.0,1.89,3.85
Football,Morocco,Botola Pro,"O/U 4.5, 1st Half",2025-05-12,22:00,Chabab Mohammedia,Raja Casablanca,Over,1xBet,65.0,1.96,3.84
Football,Portugal,Liga Portugal 2,"O/U 4.5, 1st Half",2025-05-17,16:00,Felgueiras,Oliveirense,Over,1xBet,65.0,2.03,3.77
Hockey,World,World Championship,1X2,2025-05-15,21:20,Czech Republic,Hungary,2,Betsson,45.0,1.65,3.73
Football,World,FIFA Club World Cup,1X2,2025-06-15,19:00,Bayern Munich,Auckland City,2,Betfair,61.0,1.88,3.24
Hockey,World,World Championship,1X2,2025-05-18,17:20,Kazakhstan,USA,1,Betsafe,75.0,1.88,2.8
Hockey,World,World Championship,1X2,2025-05-16,21:20,Sweden,Slovenia,2,Betsson,75.0,1.95,2.67
